"m","nu","lambda","alpha","theoretical_mean","theoretical_var","envelop_1_empirical_mean","envelop_1_empirical_var","envelope_1_empirical_acceptance","envelop_3_empirical_mean","envelop_3_empirical_var","envelope_3_empirical_acceptance","envelop_4_empirical_mean","envelop_4_empirical_var","envelope_4_empirical_acceptance","envelop_5_empirical_mean","envelop_5_empirical_var","envelope_5_empirical_acceptance"
1.6,-5,-5,0.1,-4.58333333333333,0.918055555555555,-4.84202575885094,0.0162905420441883,0.23844,-4.84367181691566,0.0177590167024191,0.17683,-4.84624432513273,0.0147962019206951,0.03551,-4.57145812655404,0.887688935425563,0.01636
2.53333333333333,-5,-5,0.1,-4.83695652173913,0.0177015366790658,-4.90040924232597,0.00492998835485137,0.24701,-4.90142017303894,0.00482539262128844,0.26102,-4.900354457192,0.00484269439485386,0.09728,-4.84213312965548,0.0158203042851239,0.0051
3.46666666666667,-5,-5,0.1,-4.89864864864865,0.00515392281883349,-4.92778688159334,0.00258097420731555,0.23981,-4.92805396755143,0.00254868832411353,0.29868,-4.927893665044,0.0026603356006199,0.1409,-4.89965427637344,0.00833071933386497,0.00254
4.4,-5,-5,0.1,-4.92647058823529,0.00265630593007994,-4.94326309681818,0.00171709286983097,0.22901,-4.94332598717552,0.00168155719866038,0.30778,-4.94318293709612,0.00169316369625963,0.16241,-4.92599759644151,0.00320795394123326,0.00188
5.33333333333333,-5,-5,0.1,-4.94230769230769,0.00173848726524312,-4.9531722193228,0.00128110620466354,0.21708,-4.95308560860054,0.00124914020953598,0.30595,-4.95332164774987,0.00126584259578849,0.17286,-4.94030966338033,0.00182778971099351,0.00157
6.26666666666667,-5,-5,0.1,-4.95253164556962,0.00128530538520925,-4.96023336795958,0.00100429537243157,0.206,-4.95994174480394,0.0010051341034425,0.29858,-4.9602287453779,0.00100923401066115,0.17198,-4.95746039088358,0.00113154080613487,0.0012
7.2,-5,-5,0.1,-4.95967741935484,0.00101981671139347,-4.965344451682,0.000836912696026732,0.19607,-4.96498631739429,0.000844895842079459,0.28831,-4.96533142788374,0.000822554012149716,0.17162,-4.96053643298522,0.000922155426762467,0.00123
8.13333333333333,-5,-5,0.1,-4.96495327102804,0.000846352252133232,-4.96944092426993,0.000712815870565959,0.18586,-4.96906795789578,0.000719727862310321,0.2782,-4.96921859001883,0.000722400377715572,0.17166,-4.96843221719254,0.000830191660633094,0.00096
9.06666666666667,-5,-5,0.1,-4.96900826446281,0.000724261299885934,-4.97255157436786,0.000621680197818504,0.17741,-4.97238286887716,0.000628673930689122,0.26897,-4.97257403626582,0.000626706372974953,0.16402,-4.9704807402605,0.000667607017088136,0.00086
10,-5,-5,0.1,-4.97222222222222,0.00063362381989833,-4.97494565054649,0.000559747130519472,0.17057,-4.97502320451719,0.000558311168581663,0.25957,-4.97496846613056,0.000554300235793779,0.16096,-4.97469477295695,0.000684868066763125,0.00086
