"","m","nu","lambda","alpha","envelope_1","envelope_3","envelope_4","envelope_5"
"1",1.6,-5,-5,0.1,0.23804,0.17639,0.03592,0.01651
"2",10,-5,-5,0.1,0.1711,0.25979,0.16182,0.00061
"3",1.6,5,-5,0.1,0.24194,0.17851,0.03497,0.01578
"4",10,5,-5,0.1,0.17077,0.26221,0.15946,0.00066
"5",1.6,-5,5,0.1,0.23804,0.17639,0.03592,0.01596
"6",10,-5,5,0.1,0.1711,0.25979,0.15995,0.00057
"7",1.6,5,5,0.1,0.24194,0.17851,0.03496,0.01621
"8",10,5,5,0.1,0.17077,0.26221,0.15993,0.00057
"9",1.6,-5,-5,10,0.23804,0.17639,0.03563,0.01613
"10",10,-5,-5,10,0.1711,0.25979,0.16007,8e-04
"11",1.6,5,-5,10,0.24194,0.17851,0.03534,0.01582
"12",10,5,-5,10,0.17077,0.26221,0.16081,0.00068
"13",1.6,-5,5,10,0.23804,0.17639,0.03564,0.01576
"14",10,-5,5,10,0.1711,0.25979,0.15911,0.00075
"15",1.6,5,5,10,0.24194,0.17851,0.03506,0.01593
"16",10,5,5,10,0.17077,0.26221,0.15839,0.00071
