"","m","nu","lambda","alpha","theoretical_mean","envelope_1","envelope_3","envelope_4","envelope_5","diff_1","diff_3","diff_4","diff_5"
"1",1.6,-5,-5,0.1,-4.58333333333333,-4.84202575885094,-4.84367181691566,-4.84624432513273,-4.57145812655404,-0.25869242551761,-0.26033848358233,-0.2629109917994,0.0118752067792904
"2",2.53333333333333,-5,-5,0.1,-4.83695652173913,-4.90040924232597,-4.90142017303894,-4.900354457192,-4.84213312965548,-0.0634527205868398,-0.0644636512998105,-0.06339793545287,-0.00517660791634977
"3",3.46666666666667,-5,-5,0.1,-4.89864864864865,-4.92778688159334,-4.92805396755143,-4.927893665044,-4.89965427637344,-0.0291382329446899,-0.0294053189027803,-0.0292450163953504,-0.00100562772478963
"4",4.4,-5,-5,0.1,-4.92647058823529,-4.94326309681818,-4.94332598717552,-4.94318293709612,-4.92599759644151,-0.0167925085828902,-0.0168553989402298,-0.0167123488608301,0.000472991793779798
"5",5.33333333333333,-5,-5,0.1,-4.94230769230769,-4.9531722193228,-4.95308560860054,-4.95332164774987,-4.94030966338033,-0.0108645270151104,-0.0107779162928505,-0.0110139554421798,0.00199802892735956
"6",6.26666666666667,-5,-5,0.1,-4.95253164556962,-4.96023336795958,-4.95994174480394,-4.9602287453779,-4.95746039088358,-0.00770172238996025,-0.00741009923432046,-0.00769709980828015,-0.00492874531396037
"7",7.2,-5,-5,0.1,-4.95967741935484,-4.965344451682,-4.96498631739429,-4.96533142788374,-4.96053643298522,-0.00566703232716037,-0.00530889803945023,-0.00565400852890008,-0.000859013630380545
"8",8.13333333333333,-5,-5,0.1,-4.96495327102804,-4.96944092426993,-4.96906795789578,-4.96921859001883,-4.96843221719254,-0.00448765324188916,-0.00411468686773997,-0.00426531899078952,-0.00347894616449995
"9",9.06666666666667,-5,-5,0.1,-4.96900826446281,-4.97255157436786,-4.97238286887716,-4.97257403626582,-4.9704807402605,-0.0035433099050497,-0.00337460441434967,-0.00356577180300999,-0.00147247579768983
"10",10,-5,-5,0.1,-4.97222222222222,-4.97494565054649,-4.97502320451719,-4.97496846613056,-4.97469477295695,-0.00272342832427075,-0.00280098229497039,-0.00274624390834077,-0.00247255073473074
"11",1.6,-3.88888888888889,-5,0.1,-4.67592592592593,-4.87728735885252,-4.87791034012716,-4.87876648277847,-4.69698046494921,-0.20136143292659,-0.20198441420123,-0.20284055685254,-0.0210545390232797
"12",2.53333333333333,-3.88888888888889,-5,0.1,-4.8731884057971,-4.92300294889738,-4.92337030791537,-4.92399533564814,-4.87756951044306,-0.0498145431002799,-0.0501819021182701,-0.0508069298510403,-0.00438110464595987
