"","m","nu","lambda","alpha","envelope_1","envelope_3","envelope_4","envelope_5"
"63",3.46666666666667,1.66666666666667,-5,0.1,0.2834,0.43305,0.2615,0.09253
"64",4.4,1.66666666666667,-5,0.1,0.25687,0.39596,0.24797,0.08832
"65",5.33333333333333,1.66666666666667,-5,0.1,0.23567,0.36542,0.22934,0.08447
"66",6.26666666666667,1.66666666666667,-5,0.1,0.21912,0.34127,0.21313,0.08198
"67",7.2,1.66666666666667,-5,0.1,0.20455,0.32125,0.20377,0.08048
"68",8.13333333333333,1.66666666666667,-5,0.1,0.19292,0.30345,0.19157,0.08014
"69",9.06666666666667,1.66666666666667,-5,0.1,0.18267,0.28895,0.18091,0.08013
"70",10,1.66666666666667,-5,0.1,0.17455,0.27563,0.17324,0.07854
"71",1.6,2.77777777777778,-5,0.1,0.32369,0.35838,0.11574,0.0521
"72",2.53333333333333,2.77777777777778,-5,0.1,0.30008,0.40694,0.20457,0.03161
"73",3.46666666666667,2.77777777777778,-5,0.1,0.27306,0.39667,0.22274,0.0238
"74",4.4,2.77777777777778,-5,0.1,0.24959,0.37457,0.22222,0.02043
"75",5.33333333333333,2.77777777777778,-5,0.1,0.23075,0.35204,0.21361,0.01862
"76",6.26666666666667,2.77777777777778,-5,0.1,0.21491,0.33101,0.20483,0.01784
"77",7.2,2.77777777777778,-5,0.1,0.20216,0.31319,0.19297,0.01741
"78",8.13333333333333,2.77777777777778,-5,0.1,0.19129,0.29819,0.18465,0.01679
"79",9.06666666666667,2.77777777777778,-5,0.1,0.18173,0.28467,0.17972,0.01608
"80",10,2.77777777777778,-5,0.1,0.17337,0.27205,0.17156,0.01561
"81",1.6,3.88888888888889,-5,0.1,0.27834,0.25007,0.06127,0.02721
"82",2.53333333333333,3.88888888888889,-5,0.1,0.27288,0.33097,0.14066,0.01144
"83",3.46666666666667,3.88888888888889,-5,0.1,0.25696,0.34994,0.17919,0.00762
"84",4.4,3.88888888888889,-5,0.1,0.2396,0.34463,0.19333,0.00603
"85",5.33333333333333,3.88888888888889,-5,0.1,0.22456,0.33114,0.19253,0.00496
"86",6.26666666666667,3.88888888888889,-5,0.1,0.21044,0.3172,0.18949,0.0046
"87",7.2,3.88888888888889,-5,0.1,0.19875,0.30286,0.18296,0.00392
"88",8.13333333333333,3.88888888888889,-5,0.1,0.18852,0.28894,0.17641,0.00386
"89",9.06666666666667,3.88888888888889,-5,0.1,0.17959,0.27787,0.17259,0.00342
"90",10,3.88888888888889,-5,0.1,0.1719,0.26768,0.16557,0.00348
"91",1.6,5,-5,0.1,0.23845,0.17943,0.03585,0.01674
"92",2.53333333333333,5,-5,0.1,0.24747,0.2656,0.09721,0.00499
"93",3.46666666666667,5,-5,0.1,0.24081,0.30175,0.13995,0.00279
"94",4.4,5,-5,0.1,0.22897,0.31176,0.16111,0.00176
"95",5.33333333333333,5,-5,0.1,0.21672,0.30843,0.17094,0.00134
"96",6.26666666666667,5,-5,0.1,0.20545,0.30044,0.17122,0.00144
"97",7.2,5,-5,0.1,0.19523,0.29045,0.17124,0.00108
"98",8.13333333333333,5,-5,0.1,0.18648,0.27957,0.17027,0.00089
"99",9.06666666666667,5,-5,0.1,0.17797,0.26901,0.16471,0.00091
"100",10,5,-5,0.1,0.17018,0.25985,0.1607,0.00086
"101",1.6,-5,-3.88888888888889,0.1,0.23844,0.17683,0.03537,0.01606
"102",2.53333333333333,-5,-3.88888888888889,0.1,0.24701,0.26102,0.09561,0.00486
"103",3.46666666666667,-5,-3.88888888888889,0.1,0.23981,0.29868,0.14031,0.0028
